Number of Clients,Throughput
10,101.01010101010101
20,222.22222222222223
30,370.3703703703704
40,327.8688524590164
50,657.8947368421053
60,625.0
70,482.7586206896552
80,625.0
90,206.89655172413794
100,854.7008547008547
